id,word,part_of_speech,modern_definition,usage_example,synonyms,antonyms,collocations,french_equivalent,russian_equivalent,cefr_level,pronunciation,is_mastered,date_added,story_text,contrastive_opening,structural_analysis,common_collocations,metadata,definitions,variant_forms,semantic_field,english_synonyms,english_antonyms,french_synonyms,french_root_cognates,russian_synonyms,russian_root_cognates,common_phrases,story_intro,learning_status
2,obstruction,,,,,,{},,,,,f,2025-10-20 22:04:31.70517,,,,,,,,,,,,,,,,,unmastered
3,delay,,,,,,{},,,,,f,2025-10-20 22:04:31.709657,,,,,,,,,,,,,,,,,unmastered
4,resistance,,,,,,{},,,,,f,2025-10-20 22:04:31.711225,,,,,,,,,,,,,,,,,unmastered
5,inhibition,,,,,,{},,,,,f,2025-10-20 22:04:31.713117,,,,,,,,,,,,,,,,,unmastered
6,assist,,,,,,{},,,,,f,2025-10-20 22:04:31.71461,,,,,,,,,,,,,,,,,unmastered
7,facilitate,,,,,,{},,,,,f,2025-10-20 22:04:31.715808,,,,,,,,,,,,,,,,,unmastered
8,enable,,,,,,{},,,,,f,2025-10-20 22:04:31.716714,,,,,,,,,,,,,,,,,unmastered
9,promote,,,,,,{},,,,,f,2025-10-20 22:04:31.71758,,,,,,,,,,,,,,,,,unmastered
10,advance,,,,,,{},,,,,f,2025-10-20 22:04:31.718595,,,,,,,,,,,,,,,,,unmastered
11,impediment,,,,,,{},,,,,f,2025-10-20 22:04:31.719532,,,,,,,,,,,,,,,,,unmastered
12,expedite,,,,,,{},,,,,f,2025-10-20 22:04:31.720358,,,,,,,,,,,,,,,,,unmastered
14,intrinsic,,,,,,{},,,,,f,2025-10-20 22:04:31.736412,,,,,,,,,,,,,,,,,unmastered
15,innate,,,,,,{},,,,,f,2025-10-20 22:04:31.737572,,,,,,,,,,,,,,,,,unmastered
16,essential,,,,,,{},,,,,f,2025-10-20 22:04:31.738688,,,,,,,,,,,,,,,,,unmastered
17,built-in,,,,,,{},,,,,f,2025-10-20 22:04:31.73979,,,,,,,,,,,,,,,,,unmastered
18,fundamental,,,,,,{},,,,,f,2025-10-20 22:04:31.740861,,,,,,,,,,,,,,,,,unmastered
19,native,,,,,,{},,,,,f,2025-10-20 22:04:31.742202,,,,,,,,,,,,,,,,,unmastered
20,external,,,,,,{},,,,,f,2025-10-20 22:04:31.744946,,,,,,,,,,,,,,,,,unmastered
21,acquired,,,,,,{},,,,,f,2025-10-20 22:04:31.745702,,,,,,,,,,,,,,,,,unmastered
1,impede,verb,"to slow or block progress, movement, or development.",Heavy traffic impeded our progress to the airport.,"{obstruction,delay,resistance,inhibition}","{assist,facilitate,enable,promote,advance}",{},entraver — often used for physical or bureaucratic obstruction.,препятствовать (prepyatstvovat’) — to hinder or stand in the way.,C1,,t,2025-10-20 22:04:31.62949,,,A word born of the body’s weight now moves through systems. Its journey from fettered feet to clogged bureaucracy traces the civilization’s shift from moral to mechanical order.,"{""impede progress — to slow development or advancement (bureaucratic, academic)"",""impede access — to make entry or use difficult (rights, equity, logistics)"",""impede justice — to obstruct or delay legal process (legal idiom)""}",{},"{""primary"": ""To obstruct or delay the movement or progress of something."", ""tertiary"": ""Figurative: to place barriers in the path of advancement or success."", ""secondary"": ""To hinder or block the functioning or development of a process or person.""}","{impediment,impeded,impeding}","{obstruction,delay,resistance,inhibition}",{},{},"{entraver,bloquer,ralentir}","{""pied — foot""}","{мешать,затруднять,препятствовать}","{""препятствие — obstacle""}","{""impede progress — bureaucratic and technical usage."",""impede justice — legal idiom retaining a moral echo."",""impede access — rights and equity discourse.""}","Impede walks with a quiet weight. He’s the slow hand on a turning wheel, the tangle in a runner’s feet. He isn’t cruel; he just holds things where they are. You meet him in paperwork, in hesitation, in the long breath before action. He doesn’t destroy. He delays.",mastered
527,plausible,adjective,seeming reasonable or probable; appearing worthy of belief or acceptance.,"Her explanation sounded plausible, but we needed more evidence.","{credible,believable,reasonable,convincing,persuasive,specious}","{implausible,incredible,unbelievable,absurd,ridiculous}",{},plausible — same meaning; 'vraisemblable' as alternative.,правдоподобный (pravdopodobnyy) — seeming true or believable.,B2,,f,2025-10-25 18:31:27.715933,,,Plausible moved from theatrical applause to philosophical probability to social respectability to persuasive strategy. Her journey tracks the shift from 'worthy of approval' to 'appearing reasonable'—from judgment to appearance.,"{""plausible explanation — believable account or reason (general use)"",""plausible deniability — ability to deny involvement convincingly (legal, political)"",""sound plausible — appear reasonable upon hearing (conversational)""}",{},"{""primary"": ""Appearing reasonable or credible; seeming worthy of belief."", ""tertiary"": ""Capable of being applauded or approved as reasonable."", ""secondary"": ""Having the appearance of truth without necessarily being true.""}","{plausibility,plausibly}","{believability,credibility,reasonableness,appearance,persuasion}",{},{},"{vraisemblable,crédible,raisonnable}","{applaudir,applaudissement}","{правдоподобный,убедительный,разумный}","{""аплодировать — to applaud""}","{""plausible explanation — believable account that seems reasonable."",""plausible deniability — ability to deny involvement convincingly."",""sound plausible — appear reasonable when heard or considered.""}","Plausible sits at the threshold of belief. She presents herself as reasonable, dressed in the clothes of acceptability. She doesn't promise truth—only the appearance of it. You meet her in convincing arguments that might be wrong, in stories that could be true, in explanations that feel right even when they're incomplete. Her power is persuasion through seeming, not certainty.",unmastered
528,credible,,,,,,{},,,,,f,2025-10-25 18:31:27.716865,,,,,,,,,,,,,,,,,unmastered
529,believable,,,,,,{},,,,,f,2025-10-25 18:31:27.722982,,,,,,,,,,,,,,,,,unmastered
530,reasonable,,,,,,{},,,,,f,2025-10-25 18:31:27.724315,,,,,,,,,,,,,,,,,unmastered
531,convincing,,,,,,{},,,,,f,2025-10-25 18:31:27.725463,,,,,,,,,,,,,,,,,unmastered
532,persuasive,,,,,,{},,,,,f,2025-10-25 18:31:27.726474,,,,,,,,,,,,,,,,,unmastered
533,specious,,,,,,{},,,,,f,2025-10-25 18:31:27.728486,,,,,,,,,,,,,,,,,unmastered
534,implausible,,,,,,{},,,,,f,2025-10-25 18:31:27.729713,,,,,,,,,,,,,,,,,unmastered
535,incredible,,,,,,{},,,,,f,2025-10-25 18:31:27.730496,,,,,,,,,,,,,,,,,unmastered
22,extrinsic,,,,,,{},,,,,f,2025-10-20 22:04:31.746441,,,,,,,,,,,,,,,,,unmastered
23,adventitious,,,,,,{},,,,,f,2025-10-20 22:04:31.747157,,,,,,,,,,,,,,,,,unmastered
24,inherit,,,,,,{},,,,,f,2025-10-20 22:04:31.747816,,,,,,,,,,,,,,,,,unmastered
28,unified,,,,,,{},,,,,f,2025-10-20 22:04:31.758499,,,,,,,,,,,,,,,,,unmastered
29,connected,,,,,,{},,,,,f,2025-10-20 22:04:31.762853,,,,,,,,,,,,,,,,,unmastered
30,integrated,,,,,,{},,,,,f,2025-10-20 22:04:31.764119,,,,,,,,,,,,,,,,,unmastered
31,consistent,,,,,,{},,,,,f,2025-10-20 22:04:31.765309,,,,,,,,,,,,,,,,,unmastered
32,harmonious,,,,,,{},,,,,f,2025-10-20 22:04:31.766408,,,,,,,,,,,,,,,,,unmastered
33,fragmented,,,,,,{},,,,,f,2025-10-20 22:04:31.767429,,,,,,,,,,,,,,,,,unmastered
34,disjointed,,,,,,{},,,,,f,2025-10-20 22:04:31.768219,,,,,,,,,,,,,,,,,unmastered
536,unbelievable,,,,,,{},,,,,f,2025-10-25 18:31:27.73136,,,,,,,,,,,,,,,,,unmastered
35,dispersed,,,,,,{},,,,,f,2025-10-20 22:04:31.768955,,,,,,,,,,,,,,,,,unmastered
537,absurd,,,,,,{},,,,,f,2025-10-25 18:31:27.732176,,,,,,,,,,,,,,,,,unmastered
36,incoherent,,,,,,{},,,,,f,2025-10-20 22:04:31.769729,,,,,,,,,,,,,,,,,unmastered
37,scattered,,,,,,{},,,,,f,2025-10-20 22:04:31.770456,,,,,,,,,,,,,,,,,unmastered
38,disconnected,,,,,,{},,,,,f,2025-10-20 22:04:31.77121,,,,,,,,,,,,,,,,,unmastered
26,cohere,,,,,,{},,,,,f,2025-10-20 22:04:31.749924,,,,,,,,,,,,,,,,,unmastered
40,cohesion,,,,,,{},,,,,f,2025-10-20 22:04:31.772617,,,,,,,,,,,,,,,,,unmastered
25,adhere,,,,,,{},,,,,f,2025-10-20 22:04:31.749173,,,,,,,,,,,,,,,,,unmastered
538,ridiculous,,,,,,{},,,,,f,2025-10-25 18:31:27.73314,,,,,,,,,,,,,,,,,unmastered
539,applaud,,,,,,{},,,,,f,2025-10-25 18:31:27.734287,,,,,,,,,,,,,,,,,unmastered
540,plaudit,,,,,,{},,,,,f,2025-10-25 18:31:27.735267,,,,,,,,,,,,,,,,,unmastered
541,applause,,,,,,{},,,,,f,2025-10-25 18:31:27.736216,,,,,,,,,,,,,,,,,unmastered
43,haphazard,,,,,,{},,,,,f,2025-10-20 22:04:31.782991,,,,,,,,,,,,,,,,,unmastered
44,indiscriminate,,,,,,{},,,,,f,2025-10-20 22:04:31.784134,,,,,,,,,,,,,,,,,unmastered
45,unfocused,,,,,,{},,,,,f,2025-10-20 22:04:31.785162,,,,,,,,,,,,,,,,,unmastered
46,broad-brush,,,,,,{},,,,,f,2025-10-20 22:04:31.786376,,,,,,,,,,,,,,,,,unmastered
47,random,,,,,,{},,,,,f,2025-10-20 22:04:31.787529,,,,,,,,,,,,,,,,,unmastered
48,targeted,,,,,,{},,,,,f,2025-10-20 22:04:31.788713,,,,,,,,,,,,,,,,,unmastered
49,systematic,,,,,,{},,,,,f,2025-10-20 22:04:31.78943,,,,,,,,,,,,,,,,,unmastered
50,methodical,,,,,,{},,,,,f,2025-10-20 22:04:31.790116,,,,,,,,,,,,,,,,,unmastered
51,precise,,,,,,{},,,,,f,2025-10-20 22:04:31.790857,,,,,,,,,,,,,,,,,unmastered
52,focused,,,,,,{},,,,,f,2025-10-20 22:04:31.791627,,,,,,,,,,,,,,,,,unmastered
53,shotgun,,,,,,{},,,,,f,2025-10-20 22:04:31.792428,,,,,,,,,,,,,,,,,unmastered
54,scatter,,,,,,{},,,,,f,2025-10-20 22:04:31.793349,,,,,,,,,,,,,,,,,unmastered
55,aimless,,,,,,{},,,,,f,2025-10-20 22:04:31.80593,,,,,,,,,,,,,,,,,unmastered
63,obscure,,,,,,{},,,,,f,2025-10-20 22:04:31.822284,,,,,,,,,,,,,,,,,unmastered
