id,word,part_of_speech,modern_definition,usage_example,synonyms,antonyms,collocations,french_equivalent,russian_equivalent,cefr_level,pronunciation,is_mastered,date_added,story_text,contrastive_opening,structural_analysis,common_collocations,metadata,definitions,variant_forms,semantic_field,english_synonyms,english_antonyms,french_synonyms,french_root_cognates,russian_synonyms,russian_root_cognates,common_phrases,story_intro
2,obstruction,,,,,,{},,,,,f,2025-10-20 22:04:31.70517,,,,,,,,,,,,,,,,
3,delay,,,,,,{},,,,,f,2025-10-20 22:04:31.709657,,,,,,,,,,,,,,,,
4,resistance,,,,,,{},,,,,f,2025-10-20 22:04:31.711225,,,,,,,,,,,,,,,,
5,inhibition,,,,,,{},,,,,f,2025-10-20 22:04:31.713117,,,,,,,,,,,,,,,,
6,assist,,,,,,{},,,,,f,2025-10-20 22:04:31.71461,,,,,,,,,,,,,,,,
7,facilitate,,,,,,{},,,,,f,2025-10-20 22:04:31.715808,,,,,,,,,,,,,,,,
8,enable,,,,,,{},,,,,f,2025-10-20 22:04:31.716714,,,,,,,,,,,,,,,,
9,promote,,,,,,{},,,,,f,2025-10-20 22:04:31.71758,,,,,,,,,,,,,,,,
10,advance,,,,,,{},,,,,f,2025-10-20 22:04:31.718595,,,,,,,,,,,,,,,,
11,impediment,,,,,,{},,,,,f,2025-10-20 22:04:31.719532,,,,,,,,,,,,,,,,
12,expedite,,,,,,{},,,,,f,2025-10-20 22:04:31.720358,,,,,,,,,,,,,,,,
14,intrinsic,,,,,,{},,,,,f,2025-10-20 22:04:31.736412,,,,,,,,,,,,,,,,
15,innate,,,,,,{},,,,,f,2025-10-20 22:04:31.737572,,,,,,,,,,,,,,,,
16,essential,,,,,,{},,,,,f,2025-10-20 22:04:31.738688,,,,,,,,,,,,,,,,
17,built-in,,,,,,{},,,,,f,2025-10-20 22:04:31.73979,,,,,,,,,,,,,,,,
18,fundamental,,,,,,{},,,,,f,2025-10-20 22:04:31.740861,,,,,,,,,,,,,,,,
19,native,,,,,,{},,,,,f,2025-10-20 22:04:31.742202,,,,,,,,,,,,,,,,
20,external,,,,,,{},,,,,f,2025-10-20 22:04:31.744946,,,,,,,,,,,,,,,,
21,acquired,,,,,,{},,,,,f,2025-10-20 22:04:31.745702,,,,,,,,,,,,,,,,
1,impede,verb,"to slow or block progress, movement, or development.",Heavy traffic impeded our progress to the airport.,"{obstruction,delay,resistance,inhibition}","{assist,facilitate,enable,promote,advance}",{},entraver — often used for physical or bureaucratic obstruction.,препятствовать (prepyatstvovat’) — to hinder or stand in the way.,C1,,t,2025-10-20 22:04:31.62949,,,A word born of the body’s weight now moves through systems. Its journey from fettered feet to clogged bureaucracy traces the civilization’s shift from moral to mechanical order.,"{""impede progress — to slow development or advancement (bureaucratic, academic)"",""impede access — to make entry or use difficult (rights, equity
527,plausible,adjective,seeming reasonable or probable; appearing worthy of belief or acceptance.,"Her explanation sounded plausible, but we needed more evidence.","{credible,believable,reasonable,convincing,persuasive,specious}","{implausible,incredible,unbelievable,absurd,ridiculous}",{},plausible — same meaning; 'vraisemblable' as alternative.,правдоподобный (pravdopodobnyy) — seeming true or believable.,B2,,f,2025-10-25 18:31:27.715933,,,Plausible moved from theatrical applause to philosophical probability to social respectability to persuasive strategy. Her journey tracks the shift from 'worthy of approval' to 'appearing reasonable'—from judgment to appearance.,"{""plausible explanation — believable account or reason (general use)"",""plausible deniability — ability to deny involvement convincingly (legal, political)""
528,credible,,,,,,{},,,,,f,2025-10-25 18:31:27.716865,,,,,,,,,,,,,,,,
529,believable,,,,,,{},,,,,f,2025-10-25 18:31:27.722982,,,,,,,,,,,,,,,,
530,reasonable,,,,,,{},,,,,f,2025-10-25 18:31:27.724315,,,,,,,,,,,,,,,,
531,convincing,,,,,,{},,,,,f,2025-10-25 18:31:27.725463,,,,,,,,,,,,,,,,
532,persuasive,,,,,,{},,,,,f,2025-10-25 18:31:27.726474,,,,,,,,,,,,,,,,
533,specious,,,,,,{},,,,,f,2025-10-25 18:31:27.728486,,,,,,,,,,,,,,,,
534,implausible,,,,,,{},,,,,f,2025-10-25 18:31:27.729713,,,,,,,,,,,,,,,,
535,incredible,,,,,,{},,,,,f,2025-10-25 18:31:27.730496,,,,,,,,,,,,,,,,
22,extrinsic,,,,,,{},,,,,f,2025-10-20 22:04:31.746441,,,,,,,,,,,,,,,,
23,adventitious,,,,,,{},,,,,f,2025-10-20 22:04:31.747157,,,,,,,,,,,,,,,,
24,inherit,,,,,,{},,,,,f,2025-10-20 22:04:31.747816,,,,,,,,,,,,,,,,
28,unified,,,,,,{},,,,,f,2025-10-20 22:04:31.758499,,,,,,,,,,,,,,,,
29,connected,,,,,,{},,,,,f,2025-10-20 22:04:31.762853,,,,,,,,,,,,,,,,
30,integrated,,,,,,{},,,,,f,2025-10-20 22:04:31.764119,,,,,,,,,,,,,,,,
31,consistent,,,,,,{},,,,,f,2025-10-20 22:04:31.765309,,,,,,,,,,,,,,,,
32,harmonious,,,,,,{},,,,,f,2025-10-20 22:04:31.766408,,,,,,,,,,,,,,,,
33,fragmented,,,,,,{},,,,,f,2025-10-20 22:04:31.767429,,,,,,,,,,,,,,,,
34,disjointed,,,,,,{},,,,,f,2025-10-20 22:04:31.768219,,,,,,,,,,,,,,,,
536,unbelievable,,,,,,{},,,,,f,2025-10-25 18:31:27.73136,,,,,,,,,,,,,,,,
35,dispersed,,,,,,{},,,,,f,2025-10-20 22:04:31.768955,,,,,,,,,,,,,,,,
537,absurd,,,,,,{},,,,,f,2025-10-25 18:31:27.732176,,,,,,,,,,,,,,,,
36,incoherent,,,,,,{},,,,,f,2025-10-20 22:04:31.769729,,,,,,,,,,,,,,,,
37,scattered,,,,,,{},,,,,f,2025-10-20 22:04:31.770456,,,,,,,,,,,,,,,,
38,disconnected,,,,,,{},,,,,f,2025-10-20 22:04:31.77121,,,,,,,,,,,,,,,,
26,cohere,,,,,,{},,,,,f,2025-10-20 22:04:31.749924,,,,,,,,,,,,,,,,
40,cohesion,,,,,,{},,,,,f,2025-10-20 22:04:31.772617,,,,,,,,,,,,,,,,
25,adhere,,,,,,{},,,,,f,2025-10-20 22:04:31.749173,,,,,,,,,,,,,,,,
538,ridiculous,,,,,,{},,,,,f,2025-10-25 18:31:27.73314,,,,,,,,,,,,,,,,
539,applaud,,,,,,{},,,,,f,2025-10-25 18:31:27.734287,,,,,,,,,,,,,,,,
540,plaudit,,,,,,{},,,,,f,2025-10-25 18:31:27.735267,,,,,,,,,,,,,,,,
541,applause,,,,,,{},,,,,f,2025-10-25 18:31:27.736216,,,,,,,,,,,,,,,,
43,haphazard,,,,,,{},,,,,f,2025-10-20 22:04:31.782991,,,,,,,,,,,,,,,,
44,indiscriminate,,,,,,{},,,,,f,2025-10-20 22:04:31.784134,,,,,,,,,,,,,,,,
45,unfocused,,,,,,{},,,,,f,2025-10-20 22:04:31.785162,,,,,,,,,,,,,,,,
46,broad-brush,,,,,,{},,,,,f,2025-10-20 22:04:31.786376,,,,,,,,,,,,,,,,
47,random,,,,,,{},,,,,f,2025-10-20 22:04:31.787529,,,,,,,,,,,,,,,,
48,targeted,,,,,,{},,,,,f,2025-10-20 22:04:31.788713,,,,,,,,,,,,,,,,
49,systematic,,,,,,{},,,,,f,2025-10-20 22:04:31.78943,,,,,,,,,,,,,,,,
50,methodical,,,,,,{},,,,,f,2025-10-20 22:04:31.790116,,,,,,,,,,,,,,,,
51,precise,,,,,,{},,,,,f,2025-10-20 22:04:31.790857,,,,,,,,,,,,,,,,
52,focused,,,,,,{},,,,,f,2025-10-20 22:04:31.791627,,,,,,,,,,,,,,,,
53,shotgun,,,,,,{},,,,,f,2025-10-20 22:04:31.792428,,,,,,,,,,,,,,,,
54,scatter,,,,,,{},,,,,f,2025-10-20 22:04:31.793349,,,,,,,,,,,,,,,,
55,aimless,,,,,,{},,,,,f,2025-10-20 22:04:31.80593,,,,,,,,,,,,,,,,
63,obscure,,,,,,{},,,,,f,2025-10-20 22:04:31.822284,,,,,,,,,,,,,,,,
542,ubiquitous,adjective,"present, appearing, or found everywhere; extremely common or widespread.",Smartphones have become ubiquitous in modern life.,"{omnipresent,pervasive,everywhere,universal,commonplace}","{rare,scarce,uncommon,unusual,absent}",{},ubiquitaire — same meaning; 'omniprésent' as more common alternative.,"вездесущий (vezdesushchiy) — present everywhere, omnipresent.",C1,,f,2025-10-25 18:31:27.745155,,,"Ubiquitous traces the journey from divine attribute to physical property to commercial strategy to digital reality. Starting as the impossible word for divine presence, it became the ordinary word for what literally fills all spaces—from theology to actuality.","{""ubiquitous presence — appearing everywhere (formal
543,omnipresent,,,,,,{},,,,,f,2025-10-25 18:31:27.745817,,,,,,,,,,,,,,,,
544,pervasive,,,,,,{},,,,,f,2025-10-25 18:31:27.746979,,,,,,,,,,,,,,,,
545,everywhere,,,,,,{},,,,,f,2025-10-25 18:31:27.748134,,,,,,,,,,,,,,,,
546,universal,,,,,,{},,,,,f,2025-10-25 18:31:27.749363,,,,,,,,,,,,,,,,
547,commonplace,,,,,,{},,,,,f,2025-10-25 18:31:27.750673,,,,,,,,,,,,,,,,
548,rare,,,,,,{},,,,,f,2025-10-25 18:31:27.752131,,,,,,,,,,,,,,,,
549,scarce,,,,,,{},,,,,f,2025-10-25 18:31:27.753013,,,,,,,,,,,,,,,,
550,uncommon,,,,,,{},,,,,f,2025-10-25 18:31:27.753803,,,,,,,,,,,,,,,,
551,unusual,,,,,,{},,,,,f,2025-10-25 18:31:27.754913,,,,,,,,,,,,,,,,
552,absent,,,,,,{},,,,,f,2025-10-25 18:31:27.756155,,,,,,,,,,,,,,,,
553,ubiquity,,,,,,{},,,,,f,2025-10-25 18:31:27.759278,,,,,,,,,,,,,,,,
57,prominent,,,,,,{},,,,,f,2025-10-20 22:04:31.815294,,,,,,,,,,,,,,,,
58,notable,,,,,,{},,,,,f,2025-10-20 22:04:31.816571,,,,,,,,,,,,,,,,
59,striking,,,,,,{},,,,,f,2025-10-20 22:04:31.817718,,,,,,,,,,,,,,,,
60,conspicuous,,,,,,{},,,,,f,2025-10-20 22:04:31.818872,,,,,,,,,,,,,,,,
61,remarkable,,,,,,{},,,,,f,2025-10-20 22:04:31.820042,,,,,,,,,,,,,,,,
62,outstanding,,,,,,{},,,,,f,2025-10-20 22:04:31.821173,,,,,,,,,,,,,,,,
64,inconspicuous,,,,,,{},,,,,f,2025-10-20 22:04:31.823093,,,,,,,,,,,,,,,,
65,hidden,,,,,,{},,,,,f,2025-10-20 22:04:31.823859,,,,,,,,,,,,,,,,
66,minor,,,,,,{},,,,,f,2025-10-20 22:04:31.824574,,,,,,,,,,,,,,,,
67,salience,,,,,,{},,,,,f,2025-10-20 22:04:31.825431,,,,,,,,,,,,,,,,
68,saliently,,,,,,{},,,,,f,2025-10-20 22:04:31.826267,,,,,,,,,,,,,,,,
69,resilient,,,,,,{},,,,,f,2025-10-20 22:04:31.827069,,,,,,,,,,,,,,,,
71,cursory,,,,,,{},,,,,f,2025-10-20 22:04:31.836264,,,,,,,,,,,,,,,,
72,mechanical,,,,,,{},,,,,f,2025-10-20 22:04:31.837361,,,,,,,,,,,,,,,,
73,superficial,,,,,,{},,,,,f,2025-10-20 22:04:31.83836,,,,,,,,,,,,,,,,
74,indifferent,,,,,,{},,,,,f,2025-10-20 22:04:31.839426,,,,,,,,,,,,,,,,
75,unthinking,,,,,,{},,,,,f,2025-10-20 22:04:31.840388,,,,,,,,,,,,,,,,
76,thorough,,,,,,{},,,,,f,2025-10-20 22:04:31.841436,,,,,,,,,,,,,,,,
77,careful,,,,,,{},,,,,f,2025-10-20 22:04:31.842253,,,,,,,,,,,,,,,,
78,deliberate,,,,,,{},,,,,f,2025-10-20 22:04:31.843126,,,,,,,,,,,,,,,,
79,attentive,,,,,,{},,,,,f,2025-10-20 22:04:31.843914,,,,,,,,,,,,,,,,
80,conscientious,,,,,,{},,,,,f,2025-10-20 22:04:31.844677,,,,,,,,,,,,,,,,
187,verisimilitude,noun,the appearance or quality of being true or real; the quality of seeming to be true.,The novel's verisimilitude made readers believe the events had actually occurred.,"{plausibility,believability,realism,authenticity,credibility}","{implausibility,incredibility,unreality,falseness}",{},vraisemblance — the appearance of truth; used in literature and philosophy.,"правдоподобие (pravdopodobie) — truthlikeness, plausibility.",C2,,f,2025-10-21 14:12:26.362174,,,"Verisimilitude traces the journey from philosophical category to aesthetic principle to technological standard. Born in rhetoric's gray zone between truth and persuasion, she became the measure by which we judge what feels real—proof that likeness can be as powerful as truth itself.","{""verisimilitude in fiction — believability in storytelling (literary criticism)"",""lack verisimilitude — fail to seem realistic or plausible (critique)"",""lend verisimilitude — add realistic detail to enhance believability (craft)""}",{}
81,function,,,,,,{},,,,,f,2025-10-20 22:04:31.845486,,,,,,,,,,,,,,,,
82,perform,,,,,,{},,,,,f,2025-10-20 22:04:31.846292,,,,,,,,,,,,,,,,
84,exclude,,,,,,{},,,,,f,2025-10-20 22:04:31.857018,,,,,,,,,,,,,,,,
