id,word,part_of_speech,modern_definition,usage_example,is_mastered,date_added,story_text
1,impede,verb,"to slow or block progress, movement, or development.",Heavy traffic impeded our progress to the airport.,t,2025-10-20 22:04:31.62949,
2,obstruction,,,,f,2025-10-20 22:04:31.70517,
3,delay,,,,f,2025-10-20 22:04:31.709657,
4,resistance,,,,f,2025-10-20 22:04:31.711225,
5,inhibition,,,,f,2025-10-20 22:04:31.713117,
6,assist,,,,f,2025-10-20 22:04:31.71461,
7,facilitate,,,,f,2025-10-20 22:04:31.715808,
8,enable,,,,f,2025-10-20 22:04:31.716714,
9,promote,,,,f,2025-10-20 22:04:31.71758,
10,advance,,,,f,2025-10-20 22:04:31.718595,
11,impediment,,,,f,2025-10-20 22:04:31.719532,
12,expedite,,,,f,2025-10-20 22:04:31.720358,
13,inherent,adjective,"existing as a permanent, essential, or characteristic attribute of something.",Risk is inherent in all forms of investment.,f,2025-10-20 22:04:31.735708,
14,intrinsic,,,,f,2025-10-20 22:04:31.736412,
15,innate,,,,f,2025-10-20 22:04:31.737572,
16,essential,,,,f,2025-10-20 22:04:31.738688,
17,built-in,,,,f,2025-10-20 22:04:31.73979,
18,fundamental,,,,f,2025-10-20 22:04:31.740861,
19,native,,,,f,2025-10-20 22:04:31.742202,
20,external,,,,f,2025-10-20 22:04:31.744946,
21,acquired,,,,f,2025-10-20 22:04:31.745702,
22,extrinsic,,,,f,2025-10-20 22:04:31.746441,
23,adventitious,,,,f,2025-10-20 22:04:31.747157,
24,inherit,,,,f,2025-10-20 22:04:31.747816,
25,adhere,,,,f,2025-10-20 22:04:31.749173,
26,cohere,,,,f,2025-10-20 22:04:31.749924,
27,cohesive,adjective,forming a united whole; characterized by or causing cohesion.,"The team was highly cohesive, working together with remarkable trust.",f,2025-10-20 22:04:31.757824,
28,unified,,,,f,2025-10-20 22:04:31.758499,
29,connected,,,,f,2025-10-20 22:04:31.762853,
30,integrated,,,,f,2025-10-20 22:04:31.764119,
31,consistent,,,,f,2025-10-20 22:04:31.765309,
32,harmonious,,,,f,2025-10-20 22:04:31.766408,
33,fragmented,,,,f,2025-10-20 22:04:31.767429,
34,disjointed,,,,f,2025-10-20 22:04:31.768219,
35,dispersed,,,,f,2025-10-20 22:04:31.768955,
36,incoherent,,,,f,2025-10-20 22:04:31.769729,
37,scattered,,,,f,2025-10-20 22:04:31.770456,
38,disconnected,,,,f,2025-10-20 22:04:31.77121,
40,cohesion,,,,f,2025-10-20 22:04:31.772617,
42,scattershot,adjective,lacking focus or organization; covering many things in a random or haphazard way.,His scattershot approach to problem-solving wasted time and resources.,f,2025-10-20 22:04:31.78207,
43,haphazard,,,,f,2025-10-20 22:04:31.782991,
44,indiscriminate,,,,f,2025-10-20 22:04:31.784134,
45,unfocused,,,,f,2025-10-20 22:04:31.785162,
46,broad-brush,,,,f,2025-10-20 22:04:31.786376,
47,random,,,,f,2025-10-20 22:04:31.787529,
48,targeted,,,,f,2025-10-20 22:04:31.788713,
49,systematic,,,,f,2025-10-20 22:04:31.78943,
50,methodical,,,,f,2025-10-20 22:04:31.790116,
51,precise,,,,f,2025-10-20 22:04:31.790857,
52,focused,,,,f,2025-10-20 22:04:31.791627,
53,shotgun,,,,f,2025-10-20 22:04:31.792428,
54,scatter,,,,f,2025-10-20 22:04:31.793349,
55,aimless,,,,f,2025-10-20 22:04:31.80593,
56,salient,adjective,most noticeable or important; prominent or striking.,The most salient feature of the proposal was its emphasis on sustainability.,t,2025-10-20 22:04:31.814598,
57,prominent,,,,f,2025-10-20 22:04:31.815294,
58,notable,,,,f,2025-10-20 22:04:31.816571,
59,striking,,,,f,2025-10-20 22:04:31.817718,
60,conspicuous,,,,f,2025-10-20 22:04:31.818872,
61,remarkable,,,,f,2025-10-20 22:04:31.820042,
62,outstanding,,,,f,2025-10-20 22:04:31.821173,
63,obscure,,,,f,2025-10-20 22:04:31.822284,
64,inconspicuous,,,,f,2025-10-20 22:04:31.823093,
65,hidden,,,,f,2025-10-20 22:04:31.823859,
66,minor,,,,f,2025-10-20 22:04:31.824574,
67,salience,,,,f,2025-10-20 22:04:31.825431,
68,saliently,,,,f,2025-10-20 22:04:31.826267,
69,resilient,,,,f,2025-10-20 22:04:31.827069,
70,perfunctory,adjective,"done quickly and without real interest, care, or effort.",He gave a perfunctory nod before leaving the room.,f,2025-10-20 22:04:31.835628,
71,cursory,,,,f,2025-10-20 22:04:31.836264,
72,mechanical,,,,f,2025-10-20 22:04:31.837361,
73,superficial,,,,f,2025-10-20 22:04:31.83836,
74,indifferent,,,,f,2025-10-20 22:04:31.839426,
75,unthinking,,,,f,2025-10-20 22:04:31.840388,
76,thorough,,,,f,2025-10-20 22:04:31.841436,
77,careful,,,,f,2025-10-20 22:04:31.842253,
78,deliberate,,,,f,2025-10-20 22:04:31.843126,
79,attentive,,,,f,2025-10-20 22:04:31.843914,
80,conscientious,,,,f,2025-10-20 22:04:31.844677,
81,function,,,,f,2025-10-20 22:04:31.845486,
82,perform,,,,f,2025-10-20 22:04:31.846292,
83,omit,verb,to leave out or exclude intentionally or accidentally.,He omitted the crucial detail from his report.,f,2025-10-20 22:04:31.856376,
84,exclude,,,,f,2025-10-20 22:04:31.857018,
85,leave out,,,,f,2025-10-20 22:04:31.85808,
86,skip,,,,f,2025-10-20 22:04:31.859662,
87,neglect,,,,f,2025-10-20 22:04:31.861504,
88,ignore,,,,f,2025-10-20 22:04:31.86254,
89,include,,,,f,2025-10-20 22:04:31.863554,
90,retain,,,,f,2025-10-20 22:04:31.864263,
91,insert,,,,f,2025-10-20 22:04:31.864985,
92,add,,,,f,2025-10-20 22:04:31.865678,
93,delete,,,,f,2025-10-20 22:04:31.866368,
187,verisimilitude,noun,the appearance or quality of being true or real; the quality of seeming to be true.,The novel's verisimilitude made readers believe the events had actually occurred.,f,2025-10-21 14:12:26.362174,
188,plausibility,,,,f,2025-10-21 14:12:26.362997,
189,believability,,,,f,2025-10-21 14:12:26.365508,
190,realism,,,,f,2025-10-21 14:12:26.367003,
191,authenticity,,,,f,2025-10-21 14:12:26.369436,
192,credibility,,,,f,2025-10-21 14:12:26.370583,
193,implausibility,,,,f,2025-10-21 14:12:26.371766,
194,incredibility,,,,f,2025-10-21 14:12:26.372604,
195,unreality,,,,f,2025-10-21 14:12:26.373396,
196,falseness,,,,f,2025-10-21 14:12:26.374276,
197,verify,,,,f,2025-10-21 14:12:26.375546,
198,similar,,,,f,2025-10-21 14:12:26.376358,
199,simulate,,,,f,2025-10-21 14:12:26.377093,
200,versimilar,,,,f,2025-10-21 14:12:26.377857,
